datetime,batiment,consommation_kwh,taux_co2_g_kwh,emission_co2_kg,conso_apres,emission_apres
2024-02-08 11:30:00,Gymnase,28.41526,0.5683052000000001,0.016148540017352,19.890681999999998,0.0113039780121464
2024-02-08 11:45:00,Gymnase,28.60326,0.5720652,0.016362929652552,20.022281999999997,0.0114540507567864
2024-02-08 12:00:00,Gymnase,28.41996,0.53997924,0.0153461884016304,19.893971999999998,0.010742331881141279
2024-02-08 12:15:00,Gymnase,28.11446,0.5341747400000001,0.015018034360740402,19.680122,0.010512624052518281
2024-02-08 12:30:00,Gymnase,27.75773,0.5273968699999999,0.014639339920305097,19.430411,0.010247537944213568
2024-02-08 12:45:00,Gymnase,27.578660000000003,0.52399454,0.014451067260516402,19.305062,0.01011574708236148
2024-02-08 13:00:00,Gymnase,27.41933,0.52096727,0.014284573495329099,19.193530999999997,0.009999201446730367
2024-02-08 13:15:00,Gymnase,27.17822,0.5163861799999999,0.014034457204999597,19.024753999999998,0.009824120043499718
2024-02-08 13:30:00,Gymnase,26.97612,0.5395224000000001,0.014554221005088004,18.883284,0.010187954703561602
2024-02-08 13:45:00,Gymnase,26.89152,0.51093888,0.0137399231102976,18.824064,0.00961794617720832
2024-02-08 14:00:00,Gymnase,27.08093,0.51453767,0.013934158623633097,18.956650999999997,0.009753911036543167
2024-02-08 14:15:00,Gymnase,27.00808,0.5131535199999999,0.013859291320441598,18.905655999999997,0.009701503924309117
2024-02-08 14:30:00,Gymnase,26.87507,0.51062633,0.013723118362593103,18.812549,0.009606182853815171
2024-02-08 14:45:00,Gymnase,26.83982,0.50995658,0.0136871428150156,18.787874,0.00958099997051092
2024-02-08 15:00:00,Gymnase,26.90092,0.51111748,0.013749530440081599,18.830644,0.009624671308057121
2024-02-08 15:15:00,Gymnase,26.80833,0.5361666,0.014373731147778002,18.765831,0.0100616118034446
2024-02-08 15:30:00,Gymnase,26.65135,0.533027,0.01420588913645,18.655945,0.009944122395515
2024-02-08 15:45:00,Gymnase,26.54043,0.5308086000000001,0.014087888491698003,18.578301,0.0098615219441886
2024-02-08 16:00:00,Gymnase,26.49531,0.5299062,0.014040029039922,18.546716999999997,0.0098280203279454
2024-02-08 16:15:00,Gymnase,26.38815,0.527763,0.01392668920845,18.471705,0.009748682445915
2024-02-08 16:30:00,Gymnase,26.13247,0.5226494,0.013658119766018002,18.292729,0.009560683836212603
2024-02-08 16:45:00,Gymnase,26.08782,0.5217564,0.013611487047048001,18.261474,0.0095280409329336
2024-02-08 17:00:00,Gymnase,26.29979,0.5522955900000001,0.014525258034926101,18.409853,0.01016768062444827
2024-02-08 17:15:00,Gymnase,26.40272,0.5544571199999999,0.014639176091366396,18.481903999999997,0.010247423263956475
2024-02-08 17:30:00,Gymnase,26.5973,0.531946,0.0141483273458,18.618109999999998,0.009903829142059999
2024-02-08 17:45:00,Gymnase,26.94839,0.5389678,0.014524314471842001,18.863872999999998,0.0101670201302894
2024-02-08 18:00:00,Gymnase,27.43531,0.5487062,0.015053924695922,19.204717,0.0105377472871454
2024-02-08 18:15:00,Gymnase,28.14642,0.5629284,0.015844419176328,19.702493999999998,0.011091093423429598
2024-02-08 18:30:00,Gymnase,28.708540000000003,0.5741708000000001,0.016483605378632003,20.095978000000002,0.011538523765042403
2024-02-08 18:45:00,Gymnase,29.12872,0.5825743999999999,0.016969646576768,20.390104,0.0118787526037376
2024-02-08 19:00:00,Gymnase,29.36419,0.5872838,0.017245113087122,20.554933,0.0120715791609854
2024-02-08 19:15:00,Gymnase,29.222250000000003,0.55522275,0.0162248580061875,20.455575,0.01135740060433125
2024-02-08 19:30:00,Gymnase,28.97127,0.55045413,0.0159473552228451,20.279889,0.01116314865599157
2024-02-08 19:45:00,Gymnase,28.52712,0.54201528,0.0154621349343936,19.968984,0.010823494454075518
2024-02-08 20:00:00,Gymnase,28.07216,0.5614432,0.015760923341312003,19.650512,0.0110326463389184
2024-02-08 20:15:00,Gymnase,27.67031,0.5257358900000001,0.014547275054425903,19.369217,0.010183092538098132
2024-02-08 20:30:00,Gymnase,27.15895,0.543179,0.01475217130205,19.011264999999998,0.010326519911434998
2024-02-08 20:45:00,Gymnase,26.69365,0.533873,0.014251019006450002,18.685555,0.009975713304515
2024-02-08 21:00:00,Gymnase,26.23963,0.5247925999999999,0.013770363650737999,18.367741,0.0096392545555166
2024-02-08 21:15:00,Gymnase,25.91439,0.5182878000000001,0.013431112181442002,18.140073,0.009401778527009401
2024-02-08 21:30:00,Gymnase,25.5163,0.5103260000000001,0.013021631313800002,17.86141,0.009115141919660001
2024-02-08 21:45:00,Gymnase,25.44627,0.53437167,0.013597765795170899,17.812388999999996,0.009518436056619627
2024-02-08 22:00:00,Gymnase,25.19482,0.52909122,0.013330358051480399,17.636374,0.00933125063603628
2024-02-08 22:15:00,Gymnase,25.39974,0.5079948000000001,0.012902935841352003,17.779818,0.0090320550889464
2024-02-08 22:30:00,Gymnase,25.60278,0.5120556,0.013110046874568002,17.921946,0.0091770328121976
2024-02-08 22:45:00,Gymnase,26.15926,0.54934446,0.014370444558699602,18.311481999999998,0.01005931119108972
2024-02-08 23:00:00,Gymnase,25.709,0.51418,0.013219053619999999,17.996299999999998,0.009253337533999997
2024-02-08 23:15:00,Gymnase,25.71041,0.5142082,0.013220503647361999,17.997287,0.0092543525531534
2024-02-08 23:30:00,Gymnase,25.43828,0.5342038800000001,0.0135892278765264,17.806796,0.00951245951356848
2024-02-08 23:45:00,Gymnase,25.51724,0.5358620399999999,0.0136737202815696,17.862068,0.009571604197098718
2024-02-09 00:00:00,Gymnase,25.26485,0.5305618499999999,0.013404565555972496,17.685395,0.009383195889180747
2024-02-09 00:15:00,Gymnase,25.17931,0.5035862,0.012679953041522,17.625517,0.0088759671290654
2024-02-09 00:30:00,Gymnase,24.43107,0.51305247,0.012534420808242899,17.101748999999998,0.008774094565770028
